$IMPOS,1000,5,4,4,1,1,17,0,0,
$NEW SESSION
$DATE,010608,
$GPS,730,A,03830.1393,S,14513.9273,E,4.39,034309.900,50.3
$GPS,740,A,03830.1394,S,14513.9274,E,4.07,034310.000,50.3
$GPS,750,A,03830.1396,S,14513.9274,E,3.22,034310.100,50.3
$GPS,760,A,03830.1396,S,14513.9274,E,2.66,034310.200,50.3
$GPS,770,A,03830.1397,S,14513.9275,E,2.04,034310.300,50.3
$GPS,780,A,03830.1398,S,14513.9275,E,1.71,034310.400,50.4
$GPS,790,A,03830.1398,S,14513.9275,E,1.35,034310.500,50.4
$GPS,800,A,03830.1399,S,14513.9275,E,0.93,034310.600,50.4
$GPS,810,A,03830.1399,S,14513.9275,E,0.52,034310.700,50.4
$GPS,820,A,03830.1400,S,14513.9277,E,0.54,034310.800,50.4
$GPS,830,A,03830.1401,S,14513.9278,E,0.34,034310.900,50.5
$GPS,840,A,03830.1402,S,14513.9280,E,0.41,034311.000,50.5
$GPS,850,A,03830.1402,S,14513.9281,E,0.48,034311.100,50.6
$GPS,860,A,03830.1403,S,14513.9282,E,0.45,034311.200,50.6
$GPS,880,A,03830.1404,S,14513.9285,E,0.29,034311.400,50.8
$GPS,890,A,03830.1405,S,14513.9286,E,0.27,034311.500,50.9
$GPS,900,A,03830.1406,S,14513.9286,E,0.23,034311.600,50.9
$GPS,910,A,03830.1406,S,14513.9287,E,0.19,034311.700,51.0
$GPS,920,A,03830.1407,S,14513.9288,E,0.12,034311.800,51.0
$GPS,930,A,03830.1407,S,14513.9289,E,0.09,034311.900,51.1
$GPS,940,A,03830.1408,S,14513.9289,E,0.08,034312.000,51.2
$GPS,950,A,03830.1409,S,14513.9290,E,0.07,034312.100,51.2
$GPS,960,A,03830.1409,S,14513.9290,E,0.07,034312.200,51.3
$GPS,970,A,03830.1409,S,14513.9291,E,0.08,034312.300,51.3
$GPS,980,A,03830.1409,S,14513.9291,E,0.07,034312.400,51.4
$GPS,990,A,03830.1410,S,14513.9291,E,0.05,034312.500,51.5
$GPS,1000,A,03830.1410,S,14513.9292,E,0.05,034312.600,51.5
$GPS,1030,A,03830.1411,S,14513.9293,E,0.08,034312.900,51.8
$GPS,1040,A,03830.1411,S,14513.9293,E,0.10,034313.000,51.8
$GPS,1050,A,03830.1412,S,14513.9294,E,0.11,034313.100,51.9
$GPS,1060,A,03830.1412,S,14513.9295,E,0.12,034313.200,51.9
$GPS,1070,A,03830.1413,S,14513.9295,E,0.09,034313.300,52.0
$GPS,1080,A,03830.1413,S,14513.9296,E,0.08,034313.400,52.1
$GPS,1090,A,03830.1414,S,14513.9296,E,0.08,034313.500,52.1
$GPS,1100,A,03830.1414,S,14513.9297,E,0.07,034313.600,52.1
$GPS,1110,A,03830.1415,S,14513.9298,E,0.07,034313.700,52.2
$GPS,1120,A,03830.1415,S,14513.9298,E,0.05,034313.800,52.2
$GPS,1130,A,03830.1415,S,14513.9298,E,0.07,034313.900,52.2
$GPS,1140,A,03830.1415,S,14513.9298,E,0.07,034314.000,52.2
$GPS,1150,A,03830.1415,S,14513.9298,E,0.04,034314.100,52.2
$GPS,1160,A,03830.1415,S,14513.9298,E,0.03,034314.200,52.2
$GPS,1170,A,03830.1415,S,14513.9298,E,0.05,034314.300,52.2
$GPS,1180,A,03830.1415,S,14513.9298,E,0.04,034314.400,52.2
$GPS,1190,A,03830.1415,S,14513.9298,E,0.05,034314.500,52.2
$GPS,1200,A,03830.1415,S,14513.9298,E,0.05,034314.600,52.2
$GPS,1210,A,03830.1415,S,14513.9298,E,0.03,034314.700,52.2
$GPS,1220,A,03830.1415,S,14513.9298,E,0.02,034314.800,52.2
$GPS,1230,A,03830.1415,S,14513.9298,E,0.05,034314.900,52.2
$GPS,1240,A,03830.1415,S,14513.9298,E,0.01,034315.000,52.2
$GPS,1250,A,03830.1415,S,14513.9298,E,0.02,034315.100,52.2
$GPS,1260,A,03830.1415,S,14513.9298,E,0.05,034315.200,52.2
$GPS,1270,A,03830.1415,S,14513.9298,E,0.04,034315.300,52.2
$GPS,1280,A,03830.1415,S,14513.9298,E,0.05,034315.400,52.2
$GPS,1290,A,03830.1415,S,14513.9298,E,0.04,034315.500,52.2
$GPS,1300,A,03830.1415,S,14513.9298,E,0.06,034315.600,52.2
$GPS,1310,A,03830.1415,S,14513.9298,E,0.05,034315.700,52.2
$GPS,1320,A,03830.1415,S,14513.9298,E,0.05,034315.800,52.2
$GPS,1330,A,03830.1415,S,14513.9298,E,0.04,034315.900,52.2
$GPS,1340,A,03830.1415,S,14513.9298,E,0.06,034316.000,52.2
